year,state,month,number,date
2003,Bahia,Julho,261,2003-07-01
2003,Bahia,Agosto,1039,2003-08-01
2003,Bahia,Setembro,8847,2003-09-01
2003,Bahia,Outubro,4264,2003-10-01
2003,Bahia,Novembro,533,2003-11-01
2003,Bahia,Dezembro,710,2003-12-01
2003,Ceara,Janeiro,264,2003-01-01
2003,Ceara,Fevereiro,9,2003-02-01
2003,Ceara,Mar�o,3,2003-03-01
2003,Ceara,Abril,3,2003-04-01
2003,Ceara,Maio,0,2003-05-01
2003,Ceara,Junho,2,2003-06-01
2003,Ceara,Julho,14,2003-07-01
2003,Ceara,Agosto,109,2003-08-01
2003,Ceara,Setembro,384,2003-09-01
2003,Ceara,Outubro,1761,2003-10-01
2003,Ceara,Novembro,3327,2003-11-01
2003,Ceara,Dezembro,2436,2003-12-01
2003,Maranhao,Janeiro,436,2003-01-01
2003,Maranhao,Fevereiro,11,2003-02-01
2003,Maranhao,Mar�o,16,2003-03-01
2003,Maranhao,Abril,79,2003-04-01
2003,Maranhao,Maio,60,2003-05-01
2003,Maranhao,Junho,338,2003-06-01
2003,Maranhao,Julho,1103,2003-07-01
2003,Maranhao,Agosto,2023,2003-08-01
2003,Maranhao,Setembro,5878,2003-09-01
2003,Maranhao,Outubro,6085,2003-10-01
2003,Maranhao,Novembro,4929,2003-11-01
2003,Maranhao,Dezembro,2424,2003-12-01
2003,Paraiba,Janeiro,70,2003-01-01
2003,Paraiba,Fevereiro,3,2003-02-01
2003,Paraiba,Mar�o,0,2003-03-01
2003,Paraiba,Abril,0,2003-04-01
2003,Paraiba,Maio,0,2003-05-01
2003,Paraiba,Junho,0,2003-06-01
2003,Paraiba,Julho,6,2003-07-01
2003,Paraiba,Agosto,14,2003-08-01
2003,Paraiba,Setembro,81,2003-09-01
2003,Paraiba,Outubro,381,2003-10-01
2003,Paraiba,Novembro,538,2003-11-01
2003,Paraiba,Dezembro,288,2003-12-01
2003,Pernambuco,Janeiro,188,2003-01-01
2003,Pernambuco,Fevereiro,35,2003-02-01
2003,Pernambuco,Mar�o,9,2003-03-01
2003,Pernambuco,Abril,7,2003-04-01
2003,Pernambuco,Maio,1,2003-05-01
2003,Pernambuco,Junho,2,2003-06-01
2003,Pernambuco,Julho,5,2003-07-01
2003,Pernambuco,Agosto,26,2003-08-01
2003,Pernambuco,Setembro,510,2003-09-01
2003,Pernambuco,Outubro,859,2003-10-01
2003,Pernambuco,Novembro,560,2003-11-01
2003,Pernambuco,Dezembro,229,2003-12-01
2003,Piaui,Janeiro,86,2003-01-01
2003,Piaui,Fevereiro,3,2003-02-01
2003,Piaui,Mar�o,15,2003-03-01
2003,Piaui,Abril,22,2003-04-01
2003,Piaui,Maio,13,2003-05-01
2003,Piaui,Junho,88,2003-06-01
2003,Piaui,Julho,407,2003-07-01
2003,Piaui,Agosto,864,2003-08-01
2003,Piaui,Setembro,3399,2003-09-01
2003,Piaui,Outubro,2332,2003-10-01
2003,Piaui,Novembro,1248,2003-11-01
2003,Piaui,Dezembro,459,2003-12-01
2003,Sergipe,Janeiro,198,2003-01-01
2003,Sergipe,Fevereiro,50,2003-02-01
2003,Sergipe,Mar�o,62,2003-03-01
2003,Sergipe,Abril,48,2003-04-01
2003,Sergipe,Maio,2,2003-05-01
2003,Sergipe,Junho,0,2003-06-01
2003,Sergipe,Julho,0,2003-07-01
2003,Sergipe,Agosto,0,2003-08-01
2003,Sergipe,Setembro,3,2003-09-01
2003,Sergipe,Outubro,2,2003-10-01
2003,Sergipe,Novembro,2,2003-11-01
2003,Sergipe,Dezembro,36,2003-12-01
2004,Alagoas,Janeiro,9,2004-01-01
2004,Alagoas,Fevereiro,7,2004-02-01
2004,Alagoas,Mar�o,16,2004-03-01
2004,Alagoas,Abril,6,2004-04-01
2004,Alagoas,Maio,3,2004-05-01
2004,Alagoas,Junho,0,2004-06-01
2004,Alagoas,Julho,0,2004-07-01
2004,Alagoas,Agosto,2,2004-08-01
2004,Alagoas,Setembro,5,2004-09-01
2004,Alagoas,Outubro,12,2004-10-01
2004,Alagoas,Novembro,28,2004-11-01
2004,Alagoas,Dezembro,71,2004-12-01
2004,Bahia,Janeiro,158,2004-01-01
2004,Bahia,Fevereiro,122,2004-02-01
2004,Bahia,Mar�o,115,2004-03-01
2004,Bahia,Abril,89,2004-04-01
2004,Bahia,Maio,124,2004-05-01
2004,Bahia,Junho,289,2004-06-01
2004,Bahia,Julho,310,2004-07-01
